Date,BTC,BTC_VOL,SP_500
7/5/2018,6639,4999240192,2889
7/6/2018,6674,4313959936,2904
7/7/2018,6857,3961080064,2905
7/8/2018,6774,3386210048,2889
7/9/2018,6742,3718129920,2904
7/10/2018,6330,4052430080,2908
7/11/2018,6395,3644859904,2931
7/12/2018,6229,3770170112,2930
7/13/2018,6238,3805400064,2919
7/14/2018,6276,2923670016,2916
7/15/2018,6360,3285459968,2906
7/16/2018,6742,4725799936,2914
7/17/2018,7321,5961950208,2914
7/18/2018,7371,6103410176,2925
7/19/2018,7467,5111629824,2923
7/20/2018,7354,4936869888,2926
7/21/2018,7419,3726609920,2902
7/22/2018,7418,3695460096,2886
7/23/2018,7711,5132480000,2884
7/24/2018,8424,7277689856,2880
7/25/2018,8181,5845400064,2786
7/26/2018,7952,4899089920,2728
7/27/2018,8165,5195879936,2767
7/28/2018,8192,3988750080,2751
7/29/2018,8218,4107190016,2810
7/30/2018,8180,5551400000,2809
7/31/2018,7780,5287530000,2769
8/1/2018,7625,4797620000,2768
8/2/2018,7567,4214110000,2756
8/3/2018,7434,4627150000,2741
8/4/2018,7033,4268390000,2656
8/5/2018,7068,3679110000,2706
8/6/2018,6952,3925900000,2659
8/7/2018,6753,4682800000,2641
8/8/2018,6306,5064430000,2683
8/9/2018,6568,4267040000,2712
8/10/2018,6185,4528680000,2740
8/11/2018,6296,4047850000,2723
8/12/2018,6323,5665250000,2738
8/13/2018,6298,4083980000,2755
8/14/2018,6200,5301700000,2814
8/15/2018,6309,4895450000,2807
8/16/2018,6335,4328420000,2781
8/17/2018,6581,4992990000,2726
8/18/2018,6424,3984520000,2722
8/19/2018,6506,3311170000,2702
8/20/2018,6309,3665100000,2730
8/21/2018,6489,3377180000,2736
8/22/2018,6377,4668110000,2691
8/23/2018,6535,3426180000,2642
8/24/2018,6720,4097820000,2650
8/25/2018,6763,3312600000,2633
8/26/2018,6707,3295500000,2673
8/27/2018,6885,4019000000,2682
8/28/2018,7096,4659940000,2744
8/29/2018,7047,4145880000,2738
8/30/2018,6978,4463250000,2760
8/31/2018,7038,4495650000,2790
9/1/2018,7193,4116050000,2700
9/2/2018,7273,4329540000,2696
9/3/2018,7260,4087760000,2633
9/4/2018,7362,4273640000,2638
9/5/2018,6793,5800460000,2637
9/6/2018,6529,5523470000,2651
9/7/2018,6467,4264680000,2651
9/8/2018,6226,3835060000,2600
9/9/2018,6301,3671890000,2546
9/10/2018,6330,3714100000,2546
9/11/2018,6321,3849910000,2507
9/12/2018,6352,4064230000,2467
9/13/2018,6517,4210910000,2417
9/14/2018,6513,4076220000,2351
9/15/2018,6543,3216300000,2468
9/16/2018,6517,3273730000,2489
9/17/2018,6281,3910780000,2486
9/18/2018,6371,4180090000,2507
9/19/2018,6399,4431340000,2510
9/20/2018,6520,4348110000,2448
9/21/2018,6735,6531940000,2532
9/22/2018,6722,4509660000,2550
9/23/2018,6711,4197500000,2574
9/24/2018,6595,4177310000,2585
9/25/2018,6446,4726180000,2597
9/26/2018,6495,4437300000,2596
9/27/2018,6677,4606810000,2583
9/28/2018,6644,5014430000,2610
9/29/2018,6602,4363690000,2616
9/30/2018,6626,4002280000,2636
10/1/2018,6590,4000970000,2671
10/2/2018,6556,3979260000,2633
10/3/2018,6503,3887310000,2639
10/4/2018,6577,3838410000,2642
10/5/2018,6622,3671500000,2665
10/6/2018,6588,3259740000,2644
10/7/2018,6603,3306630000,2640
10/8/2018,6652,3979460000,2681
10/9/2018,6643,3580810000,2704
10/10/2018,6586,3787650000,2707
10/11/2018,6256,5181640000,2725
10/12/2018,6275,3783500000,2738
10/13/2018,6286,3064030000,2732
10/14/2018,6291,3085320000,2706
10/15/2018,6597,7370770000,2708
10/16/2018,6596,4074800000,2710
10/17/2018,6544,4088420000,2745
10/18/2018,6477,3924080000,2753
10/19/2018,6465,3578870000,2746
10/20/2018,6489,3379130000,2776
10/21/2018,6482,3253610000,2780
10/22/2018,6487,3672860000,2785
10/23/2018,6476,3716150000,2775
10/24/2018,6496,3424670000,2793
10/25/2018,6476,3230550000,2796
10/26/2018,6475,3306050000,2794
10/27/2018,6480,3393250000,2792
10/28/2018,6486,3445190000,2784
10/29/2018,6333,4199910000,2804
10/30/2018,6334,3781100000,2793
10/31/2018,6318,4191240000,2790
11/1/2018,6378,3789400000,2771
11/2/2018,6388,4234870000,2749
11/3/2018,6361,3658640000,2743
11/4/2018,6376,4390020000,2783
11/5/2018,6420,4174800000,2792
11/6/2018,6461,4700040000,2811
11/7/2018,6530,4941260000,2808
11/8/2018,6454,4665260000,2822
11/9/2018,6386,4346820000,2833
11/10/2018,6409,3705320000,2833
11/11/2018,6411,3939060000,2824
11/12/2018,6371,4295770000,2855
11/13/2018,6359,4503800000,2801
11/14/2018,5738,7398940000,2798
11/15/2018,5648,7032140000,2818
11/16/2018,5576,5279320000,2805
11/17/2018,5554,4303150000,2815
11/18/2018,5624,4159680000,2834
11/19/2018,4871,7039560000,2867
11/20/2018,4452,8428290000,2867
11/21/2018,4602,6120120000,2873
11/22/2018,4366,4569370000,2879
11/23/2018,4347,4871490000,2893
11/24/2018,3881,4679500000,2896
11/25/2018,4010,6825640000,2878
11/26/2018,3779,6476900000,2888
11/27/2018,3821,5998720000,2888
11/28/2018,4257,7280280000,2907
11/29/2018,4279,6503347767,2906
11/30/2018,4017,6048016716,2907
12/1/2018,4215,5375314093,2900
12/2/2018,4140,5262697895,2905
12/3/2018,3894,5089570993,2908
12/4/2018,3957,5028069239,2934
12/5/2018,3754,5302481573,2927
12/6/2018,3521,5878333109,2926
12/7/2018,3420,6835615448,2940
12/8/2018,3476,5305024497,2943
12/9/2018,3614,4947372847,2946
12/10/2018,3503,5020968740,2924
12/11/2018,3425,4696765187,2918
12/12/2018,3487,4139364828,2946
12/13/2018,3314,4343372456,2932
12/14/2018,3242,4372763663,2884
12/15/2018,3237,3551763561,2879
12/16/2018,3253,3744248994,2871
12/17/2018,3546,5409247918,2881
12/18/2018,3696,5911325472,2812
12/19/2018,3746,6810689118,2834
12/20/2018,4134,8927129279,2851
12/21/2018,3897,7206015706,2876
12/22/2018,4014,5605823232,2860
12/23/2018,3999,6151275489,2840
12/24/2018,4079,7240968501,2864
12/25/2018,3815,6158207293,2856
12/26/2018,3857,5326547918,2822
12/27/2018,3655,5130222366,2826
12/28/2018,3924,5631554348,2802
12/29/2018,3820,4991655917,2783
12/30/2018,3866,4770578574,2789
12/31/2018,3743,4661840806,2752
1/1/2019,3844,4324200990,2744
1/2/2019,3943,5244856835,2803
1/3/2019,3837,4530215218,2826
1/4/2019,3858,4847965467,2843
1/5/2019,3845,5137609823,2873
1/6/2019,4077,5597027439,2887
1/7/2019,4025,5228625637,2886
1/8/2019,4031,5306593305,2880
1/9/2019,4035,5115905224,2892
1/10/2019,3679,6874143795,2887
1/11/2019,3687,5538712864,2890
1/12/2019,3661,4778170882,2918
1/13/2019,3553,4681302465,2926
1/14/2019,3706,5651384489,2954
1/15/2019,3631,5537192301,2950
1/16/2019,3655,5394457144,2945
1/17/2019,3679,5464420383,2917
1/18/2019,3658,5002961726,2914
1/19/2019,3729,5955691379,2925
1/20/2019,3601,5582489559,2942
1/21/2019,3576,5004347059,2964
1/22/2019,3605,5313623556,2973
1/23/2019,3585,5433755648,2996
